"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype","FDR","Sig_nominal","Sig_FDR","Direction"
0,-0.974895318576037,0.426,0.627,0,"Dip2c","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.739864681962,0.1,0.301,0,"Slc25a1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.71720779511266,0.113,0.313,0,"Lmx1b","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.706384453085743,0.472,0.67,0,"Atp2a2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.58149322091132,0.058,0.255,0,"Agtr1a","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,2.75272627605732,0.271,0.075,0,"Fabp3","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,0.514211638840408,0.946,0.75,0,"Tf","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-1.0390951793362,0.257,0.452,0,"Serinc5","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.64010313064162,0.245,0.438,0,"Ctnnbl1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.12814151914297,0.343,0.536,0,"Osbpl9","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.01860031312193,0.458,0.651,0,"Kdm6a","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.655795217587457,0.305,0.498,0,"Ssh2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.02060726884635,0.099,0.292,0,"Il18","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,3.26607613235644,0.225,0.033,0,"Lyz2","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,1.84791206038836,0.3,0.108,0,"Ctsh","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-2.08674081191362,0.082,0.273,0,"Mpped2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.639044097047646,0.328,0.519,0,"Cmtm8","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,4.07908694149899,0.213,0.022,0,"Sgcg","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-0.896308110416463,0.318,0.509,0,"AABR07035338.1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,2.96579559312193,0.226,0.036,0,"Dclk1","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-0.73275080481223,0.494,0.683,0,"Tanc2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,2.16428760049894,0.316,0.127,0,"St3gal3","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,0.732241354795766,0.516,0.328,0,"Apoe","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-4.33891943500161,0.021,0.209,0,"Bche","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,4.95658995303295,0.199,0.011,0,"Slit2","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-0.655467495519228,0.359,0.546,0,"Mtmr3","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.88007061541099,0.241,0.428,0,"Pik3c2g","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.626229460914106,0.317,0.504,0,"Ppm1h","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,2.3103704078304,0.294,0.107,0,"Angpt1","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,3.8069000214829,0.219,0.032,0,"Fras1","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-0.760091654854289,0.275,0.46,0,"Arhgap32","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.539212414001389,0.495,0.679,0,"Atxn1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.710461834641415,0.34,0.524,0,"Daam1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.706975245436834,0.359,0.542,0,"Kat6b","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.30428550915188,0.183,0.366,0,"Foxa1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.63773810318724,0.369,0.551,0,"Esrp1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.640016546036845,0.44,0.622,0,"Zfhx3","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.84175622790033,0.083,0.265,0,"Acacb","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.0585611933994,0.381,0.563,0,"Epb41l2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.568449763657849,0.485,0.666,0,"Gnaq","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-4.89867337297625,0.009,0.19,0,"Tmem178b","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,2.77548035398297,0.223,0.042,0,"Atp2b4","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-0.798434899278783,0.302,0.483,0,"Plekha6","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.604636734380702,0.529,0.709,0,"Mbnl2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.66271245784487,0.397,0.577,0,"Pura","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.15857765846535,0.255,0.434,0,"Cask","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.755153166900576,0.552,0.731,0,"Zbtb20","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.493271616103149,0.484,0.662,0,"Rbfox2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.991822887284014,0.209,0.387,0,"Dgcr2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.02315453610864,0.415,0.593,0,"Lrp6","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.990038120305552,0.338,0.516,0,"Cnot6l","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.639173150799097,0.368,0.545,0,"Rasal2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.982561292259333,0.209,0.386,0,"Gpd2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.52568559262655,0.195,0.371,0,"Rhpn2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.542437513632932,0.462,0.638,0,"Srpk2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.533075070885564,0.457,0.633,0,"Jmjd1c","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.77546007240116,0.282,0.457,0,"Wls","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.87001760154821,0.286,0.461,0,"Asph","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.607610530671789,0.345,0.52,0,"Kdm5b","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,4.00081962202475,0.202,0.027,0,"Galnt18","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-3.42313518325872,0.033,0.208,0,"Gsg1l","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-4.18482834100234,0.035,0.21,0,"Slit3","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.76058313104269,0.382,0.556,0,"Myof","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.24957513728052,0.156,0.33,0,"Sort1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-4.49480112105241,0.024,0.198,0,"Grm8","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,1.70153135063192,0.273,0.099,0,"Col14a1","Luminal",0,TRUE,TRUE,"Up_in_Aged"
0,-0.827802684005414,0.31,0.484,0,"Ell2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.04865833257091,0.258,0.432,0,"Eya2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.23364850852371,0.12,0.294,0,"Peli2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.633688815794209,0.615,0.788,0,"Csnk1a1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-1.14746793992591,0.217,0.39,0,"Ttc7a","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.46053143939689,0.1,0.273,0,"Smoc1","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-0.963473106957995,0.216,0.389,0,"Slc22a23","Luminal",0,TRUE,TRUE,"Down_in_Aged"
0,-2.05251484879361,0.07,0.243,0,"Plekhh2","Luminal",0,TRUE,TRUE,"Down_in_Aged"
