"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","102-FF-Tumor","107-L4t2-Tumor","116-R4-Tumor","157-R2-Tumor","158-L2-Tumor","167-L2-Tumor","external_gene_name"
"ENSRNOG00000007955",89.0973647146793,4.43780175222673,0.7708685846652,5.75688494836527,8.5680262740962e-09,5.53597313621904e-06,311.967115326993,168.265856492202,30.7076845506579,7.264306838733,6.63690236459893,9.74232271489058,"Timp4"
"ENSRNOG00000071023",390.171135809793,2.27788500605961,0.396721625532099,5.74177170958205,9.36910763274821e-09,5.82073829199161e-06,763.882095473572,570.462293961369,606.02518627916,75.064504000241,153.47836718135,172.114367963067,"Zfp347"
"ENSRNOG00000010906",241.769960990576,5.50983090102225,0.963606171692711,5.71792819813872,1.0783068603138e-08,6.45107063505512e-06,167.645879731795,1215.82341428817,36.1266877066564,12.9143232688587,11.6145791380481,6.49488180992706,NA
"ENSRNOG00000014705",71.9869803869086,2.94736008421318,0.516206357483989,5.70965475624659,1.13205578926647e-08,6.53074898715044e-06,109.334269390301,199.046196094435,74.0597097986455,18.5643396989843,15.7626431159224,15.1547242231631,"Rbm20"
"ENSRNOG00000014333",112.329863515094,3.53975666978276,0.627037263724487,5.64520942305287,1.64980298674534e-08,9.18940263617155e-06,397.976740580697,88.2369735263989,134.571911707295,22.6000657205027,13.2738047291979,17.3196848264721,"Vcam1"
"ENSRNOG00000056092",196.868236163862,3.72708707760613,0.675886165583517,5.51437101007741,3.5002951271407e-08,1.88467557295679e-05,290.100261448933,621.76285996509,186.955608881947,45.2001314410053,30.69567343627,6.49488180992706,"Hephl1"
"ENSRNOG00000005825",1740.2399046656,2.60248206082052,0.475542620920476,5.47265785721387,4.43335542746649e-08,2.29280961697353e-05,2695.45418803556,4530.86598944857,1739.5000130755,720.780667443174,446.331684019278,308.506885971535,"Lyz2"
"ENSRNOG00000018822",30.4529935422217,-3.63977879518305,0.665607010709483,-5.46836006325015,4.54218459376913e-08,2.29280961697353e-05,1.45779025853735,5.13005660037203,6.32217034866486,38.742969806576,67.1986364415641,63.866337797616,"Slc5a5"
"ENSRNOG00000063513",69.8592452517571,2.28141191491457,0.417641888761811,5.46260319260193,4.69202617093497e-08,2.29667571936705e-05,88.9252057707784,126.199392369152,132.765577321962,29.057227354932,24.888383867246,17.3196848264721,""
"ENSRNOG00000042165",148.761573676537,-2.08238595687346,0.384097839155952,-5.42149875523764,5.91014087420007e-08,2.80783839826335e-05,37.9025467219711,56.4306226040923,74.962876991312,290.57227354932,214.040101258315,218.661020934211,"Pou2af3"
"ENSRNOG00000001926",67.8321319761586,2.64250160065535,0.492348111201899,5.36714072936036,7.99946398962098e-08,3.69186690926708e-05,161.814718697646,63.6127018446131,125.540239780631,19.371484903288,18.251481502647,18.4021651281267,"Cldn1"
"ENSRNOG00000013399",138.095897871108,-4.31373270269742,0.807336540827431,-5.34316543913188,9.13373294383454e-08,3.94871103606078e-05,2.9155805170747,5.13005660037203,30.7076845506579,369.672503571079,95.4054714911096,324.744090496353,"Minar1"
"ENSRNOG00000025645",199.169017376528,5.62795039358888,1.05390289084396,5.34010338379662,9.28935921316843e-08,3.94871103606078e-05,1075.84921080057,28.7283169620833,66.8343722573143,11.3000328602513,5.80728956902406,6.49488180992706,"Abca13"
"ENSRNOG00000031974",152.515661019912,-3.95175351514737,0.739008257070716,-5.34737396685031,8.92395102360664e-08,3.94871103606078e-05,17.4934831024482,6.15606792044643,31.6108517433243,226.000657205027,90.4277947176604,543.405111430564,"Pcdh10"
"ENSRNOG00000060246",83.4758921838484,5.18548288683446,0.977337666466808,5.30572294996119,1.1222730351767e-07,4.64822470184853e-05,69.9739324097929,393.988346908572,23.4823470093266,1.61429040860733,7.46651516017379,4.32992120661804,"Klrd1"
"ENSRNOG00000026065",95.0160166336919,4.69306177962636,0.888085839683251,5.28446865147654,1.26070134199842e-07,5.09102719432512e-05,298.847003000157,14.3641584810417,235.726637285933,9.685742451644,4.9776767734492,6.49488180992706,"Slit1"
